,Models,Accuracy,Precision,Recall,f1,ROC_AUC,Average Precision,Top k Accuracy
0,Decison_Tree_Model,99.2936660356506,99.44201804810687,99.14364059662716,99.29260516442892,99.79287942362227,99.01861692214428,100.0
1,Logistic_Regression_Model,91.48945902045189,95.7909602380718,86.7925801243202,91.07003375163929,95.56943756264968,89.74315962996323,100.0
2,LGBM_Model,96.25198181164313,98.17934277668986,94.25179184829095,96.175486334105,99.21059970008102,95.40989551101542,100.0
3,XGBM_Model,98.98755367972323,99.71014290952466,98.2607522332353,98.98014190932545,99.75885087326239,98.84556085631846,100.0
4,Random_Forest_Model,95.71019610287067,98.47814170539326,92.85536228039281,95.58413277617562,99.01908537040764,95.01455614980112,100.0
